"NAME","Pittsburgh","JOIN_NAME"
"Coraopolis borough",0,"CORAOPOLIS BOROUGH"
"West Deer township",0,"WEST DEER TOWNSHIP"
"East Pittsburgh borough",0,"EAST PITTSBURGH BOROUGH"
"Edgewood borough",0,"EDGEWOOD BOROUGH"
"Dormont borough",0,"DORMONT BOROUGH"
"Richland township",0,"RICHLAND TOWNSHIP"
"Port Vue borough",0,"PORT VUE BOROUGH"
"Rankin borough",0,"RANKIN BOROUGH"
"Harmar township",0,"HARMAR TOWNSHIP"
"Haysville borough",0,"HAYSVILLE BOROUGH"
"Ingram borough",0,"INGRAM BOROUGH"
"Turtle Creek borough",0,"TURTLE CREEK BOROUGH"
"Verona borough",0,"VERONA BOROUGH"
"Versailles borough",0,"VERSAILLES BOROUGH"
"Bridgeville borough",0,"BRIDGEVILLE BOROUGH"
"Cheswick borough",0,"CHESWICK BOROUGH"
"Wall borough",0,"WALL BOROUGH"
"Duquesne city",0,"DUQUESNE CITY"
"East McKeesport borough",0,"EAST MCKEESPORT BOROUGH"
"Emsworth borough",0,"EMSWORTH BOROUGH"
"Leet township",0,"LEET TOWNSHIP"
"Mount Oliver borough",0,"MOUNT OLIVER BOROUGH"
"Neville township",0,"NEVILLE TOWNSHIP"
"Upper St. Clair township",0,"UPPER ST. CLAIR TOWNSHIP"
"West Elizabeth borough",0,"WEST ELIZABETH BOROUGH"
"West Homestead borough",0,"WEST HOMESTEAD BOROUGH"
"West View borough",0,"WEST VIEW BOROUGH"
"Whitaker borough",0,"WHITAKER BOROUGH"
"Whitehall borough",0,"WHITEHALL BOROUGH"
"White Oak borough",0,"WHITE OAK BOROUGH"
"Jefferson Hills borough",0,"JEFFERSON HILLS BOROUGH"
"Moon township",0,"MOON TOWNSHIP"
"North Versailles township",0,"NORTH VERSAILLES TOWNSHIP"
"Oakmont borough",0,"OAKMONT BOROUGH"
"Plum borough",0,"PLUM BOROUGH"
"Robinson township",0,"ROBINSON TOWNSHIP"
"South Versailles township",0,"SOUTH VERSAILLES TOWNSHIP"
"Wilmerding borough",0,"WILMERDING BOROUGH"
"Monroeville municipality",0,"MONROEVILLE MUNICIPALITY"
"Baldwin borough",0,"BALDWIN BOROUGH"
"Ben Avon borough",0,"BEN AVON BOROUGH"
"Chalfant borough",0,"CHALFANT BOROUGH"
"Collier township",0,"COLLIER TOWNSHIP"
"Elizabeth township",0,"ELIZABETH TOWNSHIP"
"Findlay township",0,"FINDLAY TOWNSHIP"
"Forward township",0,"FORWARD TOWNSHIP"
"Crafton borough",0,"CRAFTON BOROUGH"
"Marshall township",0,"MARSHALL TOWNSHIP"
